,status_group
41061,functional
21830,functional
18493,functional
37554,functional
19329,non functional
27575,functional
33178,functional
39453,non functional
42809,non functional
34505,non functional
14679,non functional
54961,non functional
35584,functional
13049,functional
16074,functional
53106,functional
49595,functional
39010,non functional
39348,functional
11443,functional
44166,non functional
37353,functional
448,functional
22268,non functional
14587,functional
39031,non functional
37185,functional
14418,functional
55807,functional
36809,non functional
44177,functional
12741,functional needs repair
18038,functional
45665,non functional
23266,functional
52784,functional needs repair
26248,functional
44355,functional
46763,non functional
32235,functional
10558,non functional
19923,non functional
10511,non functional
12621,functional needs repair
32036,non functional
55834,functional
16319,non functional
53400,non functional
14024,non functional
54286,functional
19215,non functional
37279,functional
42560,functional
38339,non functional
37284,functional
54626,non functional
18631,functional
10101,non functional
11913,functional
22741,non functional
1135,functional
41015,functional
58668,non functional
36281,functional
35607,non functional
39541,functional
24717,non functional
22875,non functional
37482,non functional
45973,functional
46944,functional needs repair
13846,functional
52169,functional
57402,functional
9909,functional
19084,non functional
9934,functional
38719,functional
46613,non functional
24552,functional
47561,non functional
7482,functional
11752,functional needs repair
59362,functional
59039,non functional
14066,functional
47850,functional
45483,non functional
27678,non functional
6306,functional needs repair
53806,functional
6028,functional
2458,non functional
58061,functional
24044,non functional
56024,functional
43031,non functional
21601,functional
54058,non functional
2415,non functional
58612,non functional
20278,non functional
8861,non functional
55973,functional
33327,non functional
39364,functional
36410,non functional
58353,functional
4536,functional
18656,functional
14656,functional
40359,functional needs repair
47881,functional
47506,functional
610,functional needs repair
7946,non functional
6518,non functional
4553,functional
50603,functional
46256,non functional
33411,non functional
52107,functional
49691,non functional
3205,functional
20703,functional
31248,functional
25059,functional
8294,non functional
45355,functional
24533,functional
2321,functional needs repair
52319,functional
5088,functional
28478,non functional
24967,functional
52359,functional
35291,non functional
16110,functional
10691,non functional
21179,functional
33645,non functional
40784,non functional
29272,non functional
29160,functional
48568,non functional
11659,functional
8401,functional
46626,non functional
46653,non functional
16744,functional
51149,functional
46397,functional
2199,functional
56533,functional
22789,functional
21462,non functional
7087,functional
15221,functional
36907,functional needs repair
11697,functional
10505,non functional
12747,non functional
7944,non functional
58635,non functional
48666,non functional
48878,non functional
37655,functional
54981,functional
39277,functional needs repair
1069,non functional
23140,functional
17906,non functional
49725,functional
25221,functional
36094,functional needs repair
45175,non functional
49160,functional
13102,functional
30180,non functional
13740,functional
49566,functional
12836,non functional
56740,functional
21921,functional
36044,functional
49871,non functional
32191,functional needs repair
51457,functional
24916,functional needs repair
49959,functional
25226,functional needs repair
18165,non functional
17499,functional
9148,functional
47543,non functional
31093,functional
47956,non functional
58134,functional
15829,functional needs repair
22282,functional
45848,functional
45797,functional
14965,functional
50838,functional
46965,functional
34528,functional
40547,non functional
35011,non functional
23233,non functional
41842,non functional
11630,non functional
48165,functional
23440,functional
39204,non functional
1159,functional
11782,functional
57484,functional
6622,functional
59353,functional
40413,non functional
18836,functional
36806,non functional
37631,functional
41237,functional
56299,functional
18915,functional
35800,functional
56588,non functional
58772,functional
38866,non functional
49275,functional
